Wages_Tips_Other_Compensation,Federal_Income_Tax_Withheld,Other_Income,Rents,Total_Income_W2,Appraised_Value,Borrower_Total_Income,Base,Overtime,Bonus,Commission,Mortgage_Amount
59956,4369,2471,1562,62196,272015,67430,2497,1095,1692,1948,264577
49946,4602,1315,1129,55684,318091,79533,3000,2923,1672,1741,573853
70229,5850,2147,1577,80308,474767,67823,3230,2183,1737,1381,558168
60134,6731,2817,1355,69862,387395,74453,3827,1193,1232,717,392462
46753,5710,1447,1389,81508,453698,58675,2024,2813,928,1144,468175
73118,4786,2767,1311,59658,368091,65364,3722,2400,1200,1930,606526
69392,3201,1962,1411,81136,323110,82867,3125,1341,1183,880,358501
44035,3622,2958,1701,72589,389902,73529,3036,2753,571,1701,590624
77966,6560,2650,1120,69858,427609,72758,2167,2675,1088,1197,479047
68715,3697,1101,1455,54623,278952,53932,2253,2797,1811,1860,451038
49307,4816,2424,1026,53317,426952,60911,3864,2167,941,1319,588600
64173,5671,2710,1515,51798,377671,57281,3569,1142,1113,1008,358807
75981,3079,1363,1250,81121,287786,73080,2467,2028,767,860,396536
42609,4216,1082,1391,86442,368681,86353,2473,2827,1385,1540,505240
76934,3640,1238,1503,50417,281849,89063,2073,2466,672,1360,391661
44395,6723,2597,1134,83958,439726,50520,3177,2095,1856,963,512630
74253,3152,2653,1683,56508,410105,65976,2575,1353,814,1156,348569
67733,3608,1068,1847,53570,381792,59559,2677,2206,1413,1827,467904
41276,6462,2692,1786,73922,457161,83912,3807,2868,794,1298,745515
61007,3015,2198,1374,79325,370549,62677,3603,1617,1079,1207,461423
72475,5657,1559,1115,64149,438409,61905,2492,2250,1948,1064,454569
75539,5057,1330,1280,78515,491841,76594,3528,1559,1993,1561,475947
69393,4778,2573,1521,70997,350617,79372,2304,1112,1713,1046,278989
64278,5029,2869,1366,87544,391660,85149,3884,2149,1990,1804,586630
53106,6722,1450,1095,70996,342167,59599,2550,1489,551,771,325112
58483,3938,2752,1145,51059,353012,59830,3330,2479,1946,1480,558899
48058,6700,1581,1397,83834,406365,84447,2570,2342,748,1374,482986
55685,3438,2987,1460,67686,468940,75607,2792,2782,1168,1035,592218
47607,3469,2078,1482,89538,474693,67191,3385,2329,1561,1919,603443
77465,5812,2355,1079,54304,439416,70158,2909,2878,917,1014,608517
79939,6367,2197,1455,59684,404539,84291,3780,1791,1883,761,514699
46964,4127,2555,1394,73204,453609,72831,2219,2423,1759,928,465262
44903,4652,2786,1826,60117,410549,88947,2165,2793,925,574,478936
79647,3612,2730,1865,76195,303722,88373,3725,1957,1091,616,516514
69531,6988,1297,1620,73039,268887,67604,3595,2344,1401,1448,552823
64213,3724,2890,1250,85884,452141,65902,3420,1255,1572,824,406788
51516,4740,1024,1696,65608,431740,52337,3089,1662,1053,1587,421038
52955,5791,1560,1479,67150,439348,68200,3840,2386,863,1714,654513
43746,6229,2658,1208,82716,329789,70725,2803,1575,525,1054,374331
55146,6163,2601,1560,57915,392963,50580,3829,1210,1312,861,407191
52310,5109,2982,1116,67857,468370,54418,2728,2533,694,1508,540032
75263,3447,2721,1290,68606,471137,52832,2891,1149,1193,741,376424
68073,6818,2713,1680,54543,340219,75238,2362,2399,849,1288,437602
73332,6298,2328,1468,56154,486787,58884,2676,1864,1953,1835,455891
42975,3084,2237,1322,80484,454625,88054,2018,1662,1092,778,366597
59281,5484,2675,1315,82915,379185,51564,2675,1305,1656,1411,328356
65778,4420,1004,1513,53491,490437,57128,3254,1225,739,1119,402283
78557,6473,2909,1730,83266,379705,75962,2989,1776,1608,1324,442288
60138,6695,1873,1799,59195,333141,60058,3425,1148,1394,530,339114
40204,4107,1630,1613,73608,273503,78223,3698,1703,868,1166,447181
79827,4849,2070,1771,51111,337813,71376,3045,2170,693,818,481392
46045,4429,1474,1971,69882,342858,75730,2929,1462,880,1402,379376
78980,5188,1372,1302,57492,461240,69748,3150,1225,663,1736,385846
57112,5946,2260,1784,87645,457951,57738,3968,1663,630,1625,533529
66883,3801,2376,1316,89590,378209,81293,3477,2152,1807,1964,529466
40828,5216,2103,1630,70030,439009,71025,2508,2953,591,884,560235
64498,5701,1223,1630,74074,480550,83071,2098,2162,1265,1826,444873
45348,4529,2013,1569,63243,322167,52803,2838,1842,1051,773,396053
57909,6100,2511,1590,85681,303859,56117,3825,2886,1746,1902,664092
69026,3969,1652,1954,54744,441075,71561,3022,2391,1563,1247,557443
79686,6179,1467,1430,71651,371348,76479,2865,2109,584,856,473513
78153,4486,1188,1592,83915,424349,69000,3643,1742,1553,976,515564
49829,4293,2160,1264,77429,440848,71842,2596,1306,1524,899,356308
41534,5351,2650,1205,86163,454991,62545,3342,2758,1119,1645,651738
49203,5409,1299,1406,50192,469078,51038,2451,2221,1043,931,474416
69790,4588,2868,1694,66041,349860,83209,2972,1815,1086,1425,422928
40087,6124,1463,1869,57799,378598,88892,2828,2837,1576,1599,578198
44762,4360,2480,1430,71528,474092,84067,2744,1173,649,1236,361455
77674,5776,1371,1342,78703,284008,83159,3651,1240,641,673,358361
48646,5490,2002,1639,61404,477453,65816,3789,1069,853,1755,402628
57832,3635,2591,1283,64272,495642,55416,2814,2603,1879,1087,575348
45859,6795,1641,1190,59149,423945,60291,2696,1025,1112,1819,319019
66955,4525,1185,1533,64767,489070,66505,2211,2931,1600,683,524366
45941,5807,1122,1131,56523,421746,57813,2754,1857,660,1995,439617
55811,4051,2860,1399,70411,291205,77780,3861,2895,1157,1817,701281
56944,4366,1138,1958,80506,284231,77349,2650,2689,1113,1092,488189
54213,3332,2057,1664,67533,416722,52484,3553,2472,1431,1742,628752
61419,4996,2681,1157,77072,420029,76765,2979,2574,1520,1939,562597
43590,4402,1904,1590,67339,325573,54993,3062,2334,1415,1659,495041
76560,4709,1485,1461,65902,470118,56054,2915,1487,706,820,416750
69299,4444,2342,1206,52335,296663,66583,2497,1711,1081,924,354028
69843,3251,1326,1791,57338,367648,86665,2404,2982,1553,1913,526476
73150,4859,2349,1706,72381,333193,52561,3344,1619,1704,673,413144
60188,6149,1826,1055,60799,477593,67356,2635,1352,692,1233,370169
63213,3114,2264,1861,88729,363784,87038,2477,1754,1605,1034,382416
55208,3656,1560,1416,77752,409182,79988,3989,2271,980,913,634746
67521,6917,2550,1990,55363,250723,78262,2125,1001,1399,1589,238192
69704,6427,2624,1896,84019,451694,78184,3539,1065,1966,1494,394501
67898,3826,2115,1369,53554,264847,55471,2603,1552,1657,959,325642
54960,5204,2691,1829,66898,360046,62273,3824,2413,1400,1553,612213
56410,3626,2673,1520,59708,312572,55670,2052,1104,532,676,248620
55772,6786,2112,1343,77167,351398,86628,2352,2816,1281,1559,481710
63686,5080,2319,1375,84482,312606,71326,3963,2975,852,1428,724693
71203,3262,2929,1315,67987,466756,53117,3095,2011,1891,1225,511098
68350,6139,2106,1756,67659,413923,79675,2489,1626,1733,1699,394839
77249,6811,1349,1130,79329,265452,76006,2236,2054,1023,1321,364793
45246,5589,1086,1992,80842,263110,84121,2100,2624,1576,1119,420533
50544,4118,2344,1598,60065,440984,79993,2564,2194,1257,891,460734
67957,6647,1395,1864,84775,379440,87833,3071,1402,1027,1364,398186
74197,5959,1986,1663,58399,433451,61307,2065,1525,797,702,343877
62366,3576,2077,1228,65828,292447,74778,2850,1253,1728,944,317095
41542,5148,2246,1755,75809,346586,55532,2045,2380,1627,1438,405702
74013,4725,1063,1813,64639,256640,68943,3580,2077,1395,1461,504739
67534,6580,1707,1743,72145,378360,53922,2131,2026,1364,1495,375092
60078,6729,1305,1623,66309,269670,62175,2145,1325,1805,989,282138
40524,5129,2500,1507,68245,461722,86672,3265,2890,1098,521,678749
63181,6949,2258,1274,75468,304207,88235,3318,1417,721,1113,378950
68551,3192,2365,1653,84904,318649,69149,2962,1907,1917,708,431199
77397,5129,2481,1934,71193,440375,71796,3700,2125,1028,1759,577482
50196,3739,1585,1566,51135,480170,64989,3265,2886,1461,1159,668479
56411,6108,1170,1476,87022,388204,79710,2809,2025,1367,1639,457497
59082,5706,1614,1818,66350,421571,59514,2490,1589,1670,1969,396437
74854,5461,1240,1606,74046,340220,63890,3324,1606,816,1401,422308
64267,4614,2326,1168,73238,457385,55561,2500,1070,1826,1747,323150
42355,4133,1802,1441,89694,375170,58850,2750,1666,1272,1503,388193
64532,5155,2765,1681,83865,325368,69016,2784,2938,1458,704,557353
78576,3051,1203,1389,80736,477962,55248,3937,2752,767,633,747357
48205,3306,2486,1276,86560,432738,52674,3591,2163,1149,500,581040
76963,3415,2930,1179,73770,339806,60212,3055,2231,607,1803,481139
41962,4373,1119,1309,73756,499954,74486,2138,1977,515,744,426349
44713,6167,1479,1367,50215,404959,84730,3979,2277,1923,970,645790
61422,4953,1977,1009,58498,251031,50884,3833,1326,1547,614,375309
76312,4125,1589,1597,75829,314919,75853,2496,2363,1743,1313,455311
46436,4930,1767,1479,81538,466563,77498,3887,1572,1226,1124,502683
60417,5772,1123,1811,61068,394504,62894,2969,1133,657,1110,346540
77312,5393,2471,1319,72779,312544,88330,3695,2741,1689,773,635477
69926,6237,2355,1561,53088,288477,88299,3310,2268,1482,1180,509213
76311,4859,2688,1149,66463,329698,70708,2424,2778,1457,1945,484948
52408,6020,1485,1604,66582,435408,58449,3654,2842,1474,1516,701714
53088,4927,1058,1962,62338,443693,51485,2696,1308,1862,1271,352683
74294,3140,2473,1191,79080,350528,89846,2468,2516,751,546,477472
70444,3282,1865,1611,80102,326852,75618,3538,2674,1319,1268,620779
41817,4990,1246,1140,88164,488164,77585,2010,1765,1290,1961,388398
60350,3301,2547,1269,79579,473874,69655,3567,2321,1277,1039,607352
70837,6187,1955,1600,62795,350844,51354,3559,1904,625,887,494891
77994,5695,2369,1700,50458,451413,87068,3006,1472,740,511,408324
69705,5027,1737,1705,80213,466927,85477,3993,1365,854,517,477744
59139,6502,2941,1525,53338,411833,56641,2635,2729,1840,1256,525626
47658,3894,1315,1841,60676,272853,64061,3669,1415,642,1329,387870
60932,3749,2506,1181,79958,344935,65400,3735,1316,1381,1901,408098
65302,3712,1373,1137,79501,438325,70884,2222,1882,1195,728,399358
46187,3982,1582,1371,74637,380594,81321,3605,1152,560,1899,393931
64123,3597,1998,1129,65009,487869,64824,3584,2590,1705,832,663124
78479,6237,1967,1932,68675,470022,73460,3552,1020,1844,1419,369900
78586,4038,1978,1514,77965,277724,55402,3993,2181,532,1654,568918
43558,4678,2205,1390,89319,359786,81791,3492,2718,1128,1090,618362
62994,4768,1875,1549,83533,321168,50373,3441,2793,1370,1165,630935
67009,6302,1316,1644,75003,416516,67144,3678,2775,1859,1177,693902
60553,6628,2350,1186,84571,418330,82439,2164,2318,946,822,439733
49736,5241,2131,1690,65995,397298,68667,3685,2737,1671,1191,669519
43750,6315,2563,1780,69109,416605,76369,3942,2437,1181,1810,677839
49457,6718,1327,1243,78470,386030,71328,3862,1186,1661,1778,386176
76166,3090,1401,1778,75295,276206,78792,3808,2069,556,925,530123
68014,3483,1566,1097,85001,441070,58780,2857,1754,1473,865,446230
73501,3939,2550,1171,50930,404569,59508,2067,2934,1002,1489,491515
70896,5245,2306,1934,57993,361056,67297,2553,1388,1064,586,331268
48454,3324,2192,1081,50359,289887,78827,2655,1057,1855,1882,277078
57077,3170,1826,1446,87801,259389,55361,2413,1012,528,1322,239312
54462,3989,1862,1810,60341,277720,85073,2972,1887,1502,1265,393090
76924,5189,1473,1239,70459,256346,81248,3930,2599,1246,646,656149
49276,6263,1854,1547,70297,340909,74836,2182,2608,1155,551,432250
48403,5186,2232,1559,54253,370956,57270,2235,2449,1091,1392,437209
46334,3671,2352,1172,50111,264479,55265,3815,1102,1476,1419,322965
55072,3513,1261,1752,56904,281675,63896,3109,1635,770,1195,388911
64571,3072,2486,1990,50324,421919,63571,2374,2719,1794,1182,490626
68574,4440,2769,1477,79937,329134,59091,3211,2093,821,682,483078
59296,3749,1048,1541,68016,460849,84770,3078,2636,1667,981,610231
64932,5728,1561,1466,69085,497907,52236,2178,1719,719,937,392999
57896,5439,2344,1144,82937,404943,60692,2649,2491,1611,1356,500781
65956,5974,1012,1048,77821,379206,78645,3509,2808,945,1657,643934
45638,5149,2414,1288,66899,470103,53818,2993,2337,1240,1507,545696
55424,3653,2465,1383,83605,496138,70341,2595,2631,688,656,546584
78629,5505,1171,1513,61628,336589,76653,2736,1650,1503,540,386759
61306,5807,2718,1318,67465,260668,67484,3530,2653,948,1120,599445
47033,4669,1442,1152,87720,265309,69150,3322,2941,1456,811,623560
63362,3286,1589,1416,59131,324911,52873,3237,1583,1036,1735,402233
72606,5598,1236,1340,64515,481144,88694,3812,1190,761,546,433554
75643,5444,2374,1790,51039,410606,50722,2551,2100,1176,1513,439040
62904,3014,2643,1298,58225,381824,88944,2207,1078,1997,1084,296370
53704,3626,1293,1227,73206,426052,64654,2982,1178,728,1875,347830
43076,4699,1462,1136,75179,253513,84312,2592,1318,1477,844,289379
65376,6201,1095,1555,81694,415696,77834,2853,2567,1890,1617,548902
68011,6834,1969,1686,71915,263669,57018,2796,2352,1175,1299,451041
51910,4970,2094,1861,87485,265076,68985,3184,1240,1517,1848,320470
42078,3403,2216,1437,73737,252313,86641,3053,1672,1737,1339,380325
45254,6387,2690,1884,78365,457272,74768,3020,2620,822,1580,582529
64287,6833,1745,1475,57864,295791,62128,2970,2616,1975,1447,544207
66797,6045,1822,1398,62747,487865,64258,2128,1033,1292,1687,305462
60546,3815,1469,1589,87983,496426,69524,3830,1359,1878,1130,470804
56354,3483,2630,1562,85165,410874,70715,3162,2442,788,1051,572707
70955,5141,1252,1597,78310,289437,70076,2216,2778,1021,1723,452351
69575,6005,1985,1524,55114,447841,88764,3828,2775,1673,1933,713616
74752,3576,2579,1648,74618,260635,88062,3997,1825,1748,1309,511335
41594,3219,2125,1390,58074,265608,83431,3039,1703,937,1320,400944
59113,3082,2773,1071,65494,363062,68713,2861,2537,1169,692,522715
74249,5128,1976,1001,76139,254405,74297,2472,2085,1388,936,383862
67335,3891,1555,1056,82824,436049,70341,2333,2052,1665,1606,422165
63980,3211,1015,1573,79294,285959,70323,2273,1040,999,1985,246583
48308,3838,2737,1143,66023,437751,60061,2651,2381,1609,795,500801
43317,4377,1125,1769,54201,342387,55761,2218,1598,766,1081,322106
62604,5976,2955,1211,73219,456107,72323,2958,2462,824,746,547781
55870,5676,2462,1628,88837,396304,68578,3155,1188,734,1083,369571
73003,4519,1128,1978,51679,283031,65869,2977,2990,1790,1944,571685
65093,6114,2825,1386,54431,457674,55454,2124,2553,819,630,445332
43289,6296,1582,1640,89250,490817,89192,2679,2184,520,1018,507262
74533,5743,2402,1658,63076,289289,89719,3258,1014,1314,1665,303358
67849,6409,1719,1662,71598,300168,54919,3865,2919,1511,1577,695143
50461,6654,2476,1970,76207,440626,64458,3102,2486,1270,830,571768
52435,4809,1171,1347,89786,386309,55489,3646,1350,1355,632,417204
46052,6191,1855,1464,65946,268192,86034,3618,2685,607,1678,612267
54605,5263,2178,1460,73376,297504,78933,2641,2510,1360,1652,465469
56046,4474,2488,1161,89552,467516,80501,3554,2767,979,1902,697318
56495,3780,2032,1713,50685,395602,86724,3235,2887,1126,1485,647978
65161,3748,1151,1547,68267,258651,73643,2001,1632,689,1263,289236
60498,4776,2991,1793,54585,361231,81533,2589,2525,557,1410,492068
48657,5727,1075,1864,62921,343849,51763,3679,2319,1108,1817,567338
42524,5181,2041,1723,84649,388782,81731,3108,1974,1179,1900,488814
68774,3918,1979,1505,80854,263172,75748,2487,2319,1708,1528,416898
71249,3843,1972,1353,88240,429421,74560,3085,2391,1891,1850,553859
44796,5691,2024,1027,74308,331802,75518,3524,2764,1983,1432,644402
47410,6981,2521,1384,62981,391903,69168,2300,2507,1588,991,464709
79925,3324,1421,1558,63223,296953,82162,2976,1862,1341,1899,417470
40920,3390,1514,1809,77182,433660,84324,2331,2963,1405,556,539627
71109,3915,2130,1929,82396,342774,51995,2955,1054,1059,1310,306233
48506,6680,2097,1957,84781,254417,66525,2608,2398,1367,1344,426742
54673,6316,2439,1559,76030,430390,71310,3346,1297,572,1365,383827
40293,6171,1397,1816,61385,305089,55009,2869,2643,1656,1643,514959
44186,5940,1648,1129,69906,437277,77988,3064,2646,556,1186,602154
77194,4065,2632,1992,68091,459013,52297,3917,2253,615,1458,635873
77296,5502,1332,1977,61094,490275,59473,2914,2190,1981,1624,519778
63340,4923,1323,1958,64155,442678,72172,2891,1049,1258,607,352118
60910,3223,2807,1624,89334,412391,85414,2950,2140,1135,1788,492254
49975,4114,1657,1562,54960,480280,58349,3524,2168,527,1590,576506
57912,5057,2739,1812,89045,426330,89830,3477,2363,1627,1353,587748
46014,5416,1813,1275,61707,287108,51677,3257,2294,1365,1460,502658
63837,5577,1710,1234,68816,456059,58330,3531,2536,1495,1129,642550
57376,4279,2488,1094,51821,317010,62153,3768,1243,799,1195,378428
43821,6226,1229,1374,54644,347710,85373,2222,1719,1887,866,361452
58843,4407,1052,1998,67899,288808,81899,3039,1820,1031,1041,407262
71024,5596,2646,1014,84434,405397,56879,3406,1384,1320,1852,407536
48154,4049,2074,1679,63551,396399,79834,2734,2532,1638,605,511313
72896,6108,1148,1808,56871,376889,76561,3556,2351,1441,1230,588613
70957,6495,2902,1778,56834,486653,80155,3491,1179,1486,1050,407186
64108,5494,1294,1419,64695,449519,71911,3804,1548,778,806,485354
74127,3838,2662,1846,77554,297288,82542,2363,2115,1296,1795,388250
44804,4585,2640,1574,64506,388713,78545,2908,2875,1638,986,580942
48715,3312,2022,1489,52543,351764,88052,3183,1218,1826,641,355127
76271,4216,2051,1719,81826,370342,57844,3094,2111,1709,1403,499853
61144,3768,1745,1871,88070,385574,89676,3272,2435,696,1363,575415
62085,5537,1864,1742,73734,382765,65525,3805,1805,1554,1634,505674
57280,4083,1540,1905,62416,276395,56077,3493,1230,690,1375,355125
41775,6145,2563,1089,65043,284008,57456,2107,1815,1308,964,318217
70128,4957,1791,1825,52014,486793,83927,2894,1135,1511,1517,368520
62465,6899,2855,1189,81698,466940,66950,2120,1296,556,997,330926
47036,5191,2190,1877,51568,361987,81111,2208,2946,774,1612,491179
68117,5075,2481,1011,74270,492128,60955,2735,2906,1833,961,606881
72908,4178,1324,1760,57941,401364,63981,3860,2746,1222,1622,690094
77237,6121,2481,1234,79974,335508,76155,2493,2316,825,1620,432035
68039,4688,1660,1508,88931,494000,72415,3120,2379,997,629,595154
61095,6804,1508,1562,79147,273424,64484,3148,2288,1224,1171,493855
47015,4800,2441,1883,63736,476701,75923,2935,1287,840,652,391660
66281,4180,2003,1704,74577,474620,82324,2851,2149,1367,1190,502401
50960,5745,2532,1956,60386,477800,74428,2206,1452,1311,1051,356698
61966,4829,2817,1655,68450,358423,50716,2928,2852,1266,1988,570810
78044,4400,2146,1997,72256,265603,84668,2616,2339,1864,1380,450781
78840,5972,1774,1164,58316,436576,58937,2894,1420,1117,668,392870
70436,5996,1258,1857,74587,286818,63398,3810,1590,681,1940,441174
52411,4320,1247,1850,62491,319246,61952,2076,1423,1808,1010,286305
62407,5235,2325,1128,67243,273799,60050,2017,1046,880,1484,238825
43110,4578,1365,1173,56013,458103,59881,2596,1546,1276,1278,377116
43902,6115,2057,1348,85902,479210,81721,3299,1951,1846,996,534652
44023,4728,1516,1617,89085,431182,73781,2767,2114,1074,1942,475656
43094,6745,2774,1479,70341,496589,60794,2253,1454,1087,897,356209
65903,6173,2476,1212,80876,428620,67187,2302,1949,931,1096,417374
61612,4242,1986,1208,80551,397950,64249,3847,2586,1618,794,689518
49773,3042,1494,1067,67584,286765,79504,3498,1505,1476,580,408652
58947,5368,2588,1495,64957,408483,53196,2480,1851,1353,776,421726
43161,6421,2537,1247,65520,300130,55988,2489,2258,1036,1997,411173
46779,6118,1449,1734,79999,252690,52435,2588,2861,1064,1612,485767
42359,6013,1081,1383,68404,303597,77119,3750,2853,1011,1942,668507
49182,4038,2543,1125,88957,450140,76120,2541,2485,1078,1319,502881
44627,5932,2230,1896,52560,446002,79112,2559,1270,1007,1491,343271
49445,4698,1132,1854,80728,462966,79127,3094,2481,768,1217,581184
69199,5746,1017,1942,88302,428084,82681,2552,1165,766,561,325755
44439,5011,1650,1077,52089,479139,81758,3156,2236,1655,903,540491
47220,3669,1484,1030,52140,329868,60660,3539,2550,1213,886,597599
76960,6169,2343,1957,70162,388487,62891,3087,2345,1514,1856,538886
71095,4737,1739,1506,63169,459237,74236,3294,2594,1349,1632,624139
56121,5750,1052,1220,59530,366601,60446,3851,1112,550,1313,375390
62789,3921,2679,1400,50093,284696,80295,3030,2385,1644,1473,491607
40074,5727,2954,1693,69120,278059,86658,2792,2552,1007,1734,476834
52508,6960,2583,1643,78770,268972,58957,2047,1148,613,1408,253082
64797,6479,1513,1273,64266,272590,71173,2708,1518,975,1304,320988
66177,4134,1285,1160,66756,345949,84835,2541,1898,615,778,395039
48788,3374,2908,1866,81038,425348,70396,2161,2396,834,1956,449127
64966,6595,2861,1630,58165,356312,81342,2699,2210,938,1585,471332
70815,4141,1114,1700,68820,399117,59721,3146,2214,1314,1388,526323
51364,6840,1889,1054,62656,421966,66053,2669,2335,833,1259,489053
71203,5333,2980,1742,68584,296164,78946,2916,2822,1487,1989,526567
55644,4526,2662,1100,71887,402937,57055,3463,1507,1995,1337,439382
65413,6144,2012,1194,86227,288505,72809,2791,1628,1848,1043,366715
42642,3412,1524,1565,81463,474637,76307,2209,2285,1524,1458,444515
58124,3361,1582,1873,59023,414397,60199,2133,2805,1374,1747,475253
62427,3657,1630,1320,52560,435656,88467,2493,2165,1256,1887,468601
58333,5859,1634,1073,65363,284024,68427,2737,1882,850,528,389920
65721,5774,2996,1832,80727,275962,60173,3458,1191,1248,1331,336808
48288,4057,2985,1709,83991,442095,84914,2756,2984,860,1912,606883
51068,5828,2281,1992,62427,281432,63347,2853,1629,1935,1769,359676
45391,3923,2670,1594,71111,491292,55512,3225,2751,1833,571,649034
59973,4305,2445,1393,66491,370891,78413,2985,1584,1466,1113,392373
62446,4070,1396,1149,67717,459466,59435,3398,2720,938,545,663634
54236,4970,2970,1536,85592,468439,65387,2913,2908,572,1478,633669
72746,6933,1265,1708,71015,473713,89091,2036,1377,710,1378,352515
66976,5978,2580,1137,61832,431362,84326,3155,1122,984,804,363742
40842,5753,2626,1700,74092,410853,62489,3810,2748,1594,1630,703147
54249,3858,1412,1396,89797,319327,82421,3355,1760,1820,797,437687
68535,4027,2147,1954,72938,473458,82092,3907,2304,770,1149,652385
59111,5794,1253,1621,75576,385605,64719,3368,1896,1808,1004,499788
68264,4624,1501,1843,80648,299714,71258,2424,1819,919,1195,362406
47120,3242,2879,1174,88479,428450,51058,3190,2478,1202,1389,584748
64923,3416,1062,1323,69095,336826,65231,3604,1373,1885,1392,398829
40066,4751,1866,1252,57382,489457,71010,2572,2507,910,1733,525812
48104,4796,2550,1012,62232,394349,72396,3005,1887,1321,1434,474822
42191,4960,2746,1403,63572,472497,58677,3648,2997,1357,1464,734499
72703,4208,2293,1605,51401,266708,83886,2349,2604,819,1175,423023
76035,6656,1385,1087,78474,497696,86140,2249,2584,515,666,490376
48151,4376,1836,1407,63857,491527,71853,2927,1381,642,1092,410853
40568,6571,2018,1993,79587,382810,57256,2565,2009,1941,1645,427202
45707,6569,1378,1824,66755,468733,84083,2924,2488,947,1085,564084
78067,6569,1303,1404,84392,396529,72197,3012,1169,1200,525,360453
71742,3787,2277,1061,74797,392166,84143,3430,2505,1078,1412,595682
55754,4521,2560,1616,84564,387030,86440,3444,1937,1060,670,516754
57925,5057,2472,1730,80872,468409,68110,3458,2572,540,1909,648408
76318,6186,1927,1942,88727,441653,86088,2233,1141,1567,1166,326500
69099,5988,2726,1916,89427,349347,87813,2690,1303,1599,1467,320572
69405,5506,1823,1251,66840,344437,68184,2172,1658,1536,911,340314
43772,6892,1636,1422,73674,375436,74640,2010,1936,1526,700,372344
75558,4837,2735,1713,75742,395516,73661,2592,2958,1348,661,556681
46930,6487,1070,1647,69630,310453,88116,2995,1305,1562,651,349869
63423,3700,2380,1019,79778,336749,58195,2421,2936,906,580,509764
71368,3399,2282,1537,81249,499492,54840,2759,2610,679,1189,562315
44368,3779,1709,1288,56142,413054,78188,2882,1368,1459,962,365138
56075,4832,1403,1725,71884,427497,74535,2860,1978,1676,1348,475551
55218,3159,2796,1445,74801,251181,67474,3473,1410,833,1274,377224
60440,3231,1486,1693,56158,336181,87019,2017,1237,1575,1557,281837
42409,5791,2304,1372,51965,466220,87880,3728,1004,1844,1151,385958
40713,4329,2179,1678,72442,456013,84424,3063,2735,1371,1661,605744
41016,3985,2621,1351,53265,389801,85934,2135,2619,531,1082,439596
56049,5476,2079,1597,59525,357001,82544,2712,2252,1235,1105,460777
75239,5799,2356,1329,57459,480212,78983,3994,1781,780,1494,555987
77887,6004,1618,1594,83934,257845,62334,2825,2720,814,1459,499487
72359,6313,1690,1790,89957,370277,83840,2806,2370,1683,599,497542
53394,4221,1345,1426,84743,252851,88832,2503,2148,1765,1383,390263
66814,6460,1373,1038,55100,396998,81784,3369,1886,1400,1270,498781
57160,6789,1018,1092,63134,498210,66106,3996,2445,1774,769,701056
78044,3956,1662,1987,79879,335422,88464,3337,1078,1864,1061,353787
67860,4783,2267,1963,72459,305294,61652,3219,2047,1439,694,468142
61995,5098,1898,1875,69398,421815,71928,3773,1422,707,1793,461465
66514,5202,1880,1662,64681,308120,64384,3375,2262,859,690,532513
64327,3671,1170,1486,82140,438963,51590,3139,1247,1404,743,382111
70240,5646,2052,1597,57540,270072,57745,2010,1870,1327,703,322099
56795,6719,2032,1480,52765,382372,50419,3599,2523,858,594,615092
51655,3908,2092,1592,89339,340425,55323,3987,2803,1142,1333,700606
60940,3831,2516,1894,73154,414822,89917,3148,1494,1614,970,407387
77471,4628,1502,1671,84932,390432,58061,2211,1594,917,1140,341764
